DIRECTORY OF OPEN BUGS  97-01-19 17:05 (EST)
3311-007  schonberg incorrect visibility error not caught, see comments 
3311-010  incorrect error message from generic matching 
3313-001  gigi abort, due to escaped discriminal 
3313-006  sgi tasking termination test fails on SGI only 
3314-003  schonberg missing legality check for access type conversion 
3319-003  kenner incomplete debugging information 
3320-003  failure to detect ambiguous call 
3320-005  dismukes problem with visibility of correct equality operator 
3322-002  problem with initialization of wide character in Linux 
3325-003  dismukes error message improvement suggestion 
3326-002  incorrect error message on equality operator 
3327-002  incorrect error message to do with private types 
3330-004  gasperon gigi abort, to do with discriminants 
3401-003  dewar better order of elaboration possible? see comment 
3405-001  schenker problem with full and private view not the same 
3407-002  pautet version attribute cannot be used with child unit 
3409-005  gasperon constraint error raised incorrectly 
3414-006  dismukes missing error check for assignment of access types 
3415-001  get immediate does not work on OS/2 
3415-003  dewar error message improvement request 
3417-003  dismukes problem with withing of private children 
3417-005  problem in generic instantiation 
3418-002  dismukes illegal instantiation accepted 
3421-001  gnatmake does not seem to work properly with gnat.adc 
3421-002  missing error check for abstract type 
3422-017  gnatf goes into infinite loop at compile time 
3422-021  problem with nested generic instantiation 
3425-002  claimed case of undetected error 
3425-005  schonberg need check for junk generic body around 
3428-027  dewar warnings would be nice for non-modified accept out parms 
3431-003  comar report from ois, needs looking at 
3504-007  tasking program hangs 
3506-001  assert error (from deep finalize stuff?) 
3509-001  problem with private type and is_fully_initialized_type 
3509-002  overloading problem 
3513-005  missing finalization call 
3514-002  problem with finalization 
3519-003  dewar should generate warning about ABE case 
3519-005  schonberg bad error messages for legal instantiations 
3520-005  initialize used as type name causes assert error 
3523-002  dismukes problem with visibility to private type 
3526-006  dewar request improved error message for Ada.Text_IO reference 
3527-003  dewar blow up from use of access discriminant 
3529-001  problem with instantiation and controlled type 
3529-003  dewar request for detecting unaccepted task entries 
3603-002  test of access to tagged causes gigi abort 
3607-001  dewar request for improved error message 
3607-003  full view referenced before private view 
3607-006  tardieu distribution problem (RACW stuff) 
3610-002  incorrect error message? 
3612-002  assert error, unknown cause 
3616-002  assertion failure for instantiation, unknown cause 
3618-004  tasking problem on NT 
3619-005  dewar suggestion for warning on duplicated assignment 
3623-006  dewar bogus recursion warning 
3627-001  problem with package ada.real_time in linux 
3704-001  problems with text_io (hex input, skipped gets) 
3705-002  problem with assembler on Linux 
3705-003  sigsegv at compile time, caused by illegality 
3706-001  schonberg peculiar messages for access to "+" 
3707-002  assert error from attempted renaming of attribute 
3707-006  schonberg another case of undetected ambiguity 
3708-002  problem with escaped discriminal 
3712-003  problem with gnatf 
3712-004  problem with crashing if no limited (works on OS/2) 
3712-005  gnatmake -a causes troubles 
3714-003  missing legality check on derivation 
3714-004  dismukes suggestion for better msg on classwide aggregate 
3716-002  missing constraint error check 
3717-001  dewar request for better msg on file not found case 
3717-002  schonberg decimal correctly accepted for ordinary fixed-point 
3717-005  problem with class wide types and discriminants 
